 min, max u ice = -0.27451814541569758       0.27452186384304522              103
 min, max u ice = -0.27684249272843864       0.27684627678050183              104
 min, max u ice = -0.27916113262110209       0.27916498275657814              105
 min, max u ice = -0.28147408664242579       0.28147800331733930              106
 min, max u ice = -0.28378137624947791       0.28378535991719500              107
 min, max u ice = -0.28608302280806175       0.28608707391930505              108
 min, max u ice = -0.28837904759311844       0.28838316659598129              109
 min, max u ice = -0.29066947178912267       0.29067365912908288              110
 min, max u ice = -0.29295431649049342       0.29295857261042924              111
 min, max u ice = -0.29523360270198129       0.29523792804218529              112
 min, max u ice = -0.29750735133906475       0.29751174633725819              113
 min, max u ice = -0.29977558322834380       0.29978004831969046              114
 min, max u ice = -0.30203831910793150       0.30204285472505238              115
 min, max u ice = -0.30429557962784426       0.30430018620083110              116
 min, max u ice = -0.30654738535038523       0.30655206330681400              117
 min, max u ice = -0.30879375675054238       0.30879850651548851              118
 min, max u ice = -0.31103471421636480       0.31103953621241648              119
 min, max u ice = -0.31327027804934621       0.31327517269661820              120
 min, max u ice = -0.31550046846480706       0.31550543618095439              121
 min, max u ice = -0.31772530559227430       0.31773034679250578              122
 min, max u ice = -0.31994480947585957       0.31994992457295124              123
 min, max u ice = -0.32215900007463538       0.32216418947894415              124
 min, max u ice = -0.32436789726301013       0.32437316138248706              125
 min, max u ice = -0.32657152083110103       0.32657686007130465              126
 min, max u ice = -0.32876989048510546       0.32877530524921517              127
 min, max u ice = -0.33096302584767090       0.33096851653650000              128
 min, max u ice = -0.33315094645826326       0.33315651347027203              129
 min, max u ice = -0.33533367177352902       0.33533931550483709              130
 min, max u ice = -0.33751122116767096       0.33751694201207144              131
 min, max u ice = -0.33968361393280389       0.33968941228177579              132
 min, max u ice = -0.34185086927931674       0.34185674552203799              133
 min, max u ice = -0.34401300633623749       0.34401896085959821              134
 min, max u ice = -0.34617004415158137       0.34617607734019545              135
 min, max u ice = -0.34832200169271554       0.34832811392893348              136
 min, max u ice = -0.35046889784671381       0.35047508951063516              137
 min, max u ice = -0.35261075142071019       0.35261702289019642              138
 min, max u ice = -0.35474758114225113       0.35475393279293777              139
 min, max u ice = -0.35687940565964626       0.35688583786495526              140
 min, max u ice = -0.35900624354231764       0.35901275667346966              141
 min, max u ice = -0.36112811328114708       0.36113470770717387              142
 min, max u ice = -0.36324503328882274       0.36325170937657908              143
 min, max u ice = -0.36535702190018360       0.36536378001435943              144
